id_correlativo,codigo_vendedor,codigo_producto,razon
5147.0,AP,,venta no encontrada
5168.0,AP,,venta no encontrada
5184.0,AP,,venta no encontrada
5185.0,AP,,venta no encontrada
5195.0,AP,,venta no encontrada
5216.0,AP,,venta no encontrada
5230.0,AP,,venta no encontrada
5328.0,AP,,venta no encontrada
5338.0,AP,,venta no encontrada
5339.0,AP,,venta no encontrada
5359.0,AP,,venta no encontrada
5363.0,AP,,venta no encontrada
5370.0,AP,,venta no encontrada
5306.0,AP,,venta no encontrada
5285.0,AP,,venta no encontrada
5383.0,AP,,venta no encontrada
5406.0,AP,,venta no encontrada
5415.0,AP,,venta no encontrada
5419.0,AP,,venta no encontrada
5451.0,AP,,venta no encontrada
5457.0,AP,,venta no encontrada
5477.0,AP,,venta no encontrada
5478.0,AP,,venta no encontrada
5489.0,AP,,venta no encontrada
5490.0,AP,,venta no encontrada
5501.0,AP,,venta no encontrada
5525.0,AP,,venta no encontrada
5552.0,AP,,venta no encontrada
5554.0,AP,,venta no encontrada
5567.0,AP,,venta no encontrada
5574.0,AP,,venta no encontrada
5578.0,AP,,venta no encontrada
5580.0,AP,,venta no encontrada
5597.0,AP,,venta no encontrada
5599.0,AP,,venta no encontrada
5602.0,AP,,venta no encontrada
5610.0,AP,,venta no encontrada
5643.0,AP,,venta no encontrada
5652.0,AP,,venta no encontrada
5681.0,AP,,venta no encontrada
5720.0,AP,,venta no encontrada
5729.0,AP,,venta no encontrada
5727.0,AP,,venta no encontrada
5740.0,AP,,venta no encontrada
5742.0,AP,,venta no encontrada
5746.0,AP,,venta no encontrada
5769.0,AP,,venta no encontrada
5759.0,AP,,venta no encontrada
5782.0,AP,,venta no encontrada
5804.0,AP,,venta no encontrada
5807.0,AP,,venta no encontrada
5819.0,AP,,venta no encontrada
5821.0,AP,,venta no encontrada
5829.0,AP,,venta no encontrada
5835.0,AP,,venta no encontrada
5848.0,AP,,venta no encontrada
5879.0,AP,,venta no encontrada
5901.0,AP,,venta no encontrada
5903.0,AP,,venta no encontrada
5917.0,AP,,venta no encontrada
5985.0,AP,,venta no encontrada
5989.0,AP,,venta no encontrada
5964.0,AP,,venta no encontrada
6006.0,AP,,venta no encontrada
5811.0,AP,,venta no encontrada
5617.0,AP,,venta no encontrada
6025.0,AP,,venta no encontrada
6029.0,AP,,venta no encontrada
6030.0,AP,,venta no encontrada
6063.0,AP,,venta no encontrada
6082.0,AP,,venta no encontrada
6095.0,AP,,venta no encontrada
